Return,steps
7.0,451.0
-8.8,235.0
1.0,400.0
-2.0,342.0
1.0,346.0
0.0,255.0
10.0,378.0
-8.8,250.0
5.0,319.0
1.0,266.0
1.0,299.0
-1.0,257.0
-5.0,295.0
-9.8,250.0
7.0,419.0
-8.8,250.0
-9.8,250.0
-8.8,250.0
4.0,435.0
-8.8,230.0
5.0,365.0
4.0,316.0
-1.0,295.0
8.0,425.0
5.0,336.0
3.0,375.0
-7.8,235.0
5.0,360.0
3.0,261.0
-9.8,255.0
-8.8,230.0
5.0,324.0
-7.8,235.0
-8.8,250.0
1.0,300.0
-8.8,230.0
1.0,397.0
-7.8,250.0
-7.8,270.0
1.0,300.0
-8.8,235.0
-1.0,428.0
6.0,386.0
0.0,278.0
5.0,318.0
-8.8,250.0
1.0,257.0
11.0,367.0
-8.8,230.0
2.0,297.0
-3.0,275.0
-8.8,250.0
2.0,315.0
-7.8,255.0
-8.8,250.0
2.0,304.0
1.0,275.0
0.0,328.0
2.0,281.0
1.0,340.0
-9.8,230.0
-9.8,245.0
-8.8,250.0
-1.0,273.0
-9.8,245.0
-9.8,250.0
-8.8,235.0
2.0,376.0
-9.8,245.0
7.0,409.0
-7.8,255.0
-8.8,235.0
-2.0,355.0
-9.8,245.0
0.0,378.0
2.0,304.0
6.0,348.0
3.0,263.0
1.0,245.0
-7.8,255.0
-7.8,250.0
-1.0,295.0
4.0,337.0
-9.8,255.0
5.0,346.0
-8.8,240.0
4.0,320.0
-3.0,283.0
-7.8,250.0
-1.0,317.0
-8.8,250.0
-8.8,250.0
-8.8,250.0
5.0,472.0
5.0,343.0
-9.8,230.0
-8.8,250.0
-3.0,248.0
-8.8,270.0
-9.8,250.0
-1.0,404.0
4.0,372.0
-1.0,277.0
3.0,360.0
-8.8,250.0
-4.0,255.0
-8.8,250.0
0.0,285.0
-9.8,250.0
-7.8,235.0
2.0,305.0
-8.8,245.0
10.0,454.0
-8.8,230.0
-2.0,294.0
2.0,285.0
6.0,376.0
-8.8,235.0
-8.8,250.0
0.0,325.0
-8.8,250.0
-2.0,251.0
0.0,293.0
-8.8,235.0
-9.8,231.0
-9.8,250.0
4.0,375.0
-7.8,250.0
1.0,282.0
7.0,370.0
-8.8,250.0
-3.0,385.0
3.0,319.0
-9.8,250.0
-9.8,245.0
-4.0,253.0
-9.8,250.0
3.0,411.0
0.0,365.0
1.0,335.0
1.0,240.0
-8.8,230.0
-9.8,245.0
0.0,415.0
-9.8,230.0
-9.8,230.0
-1.0,245.0
-2.0,283.0
-8.8,235.0
-8.8,255.0
0.0,299.0
6.0,305.0
-9.8,250.0
-1.0,265.0
-9.8,245.0
-8.8,255.0
-7.8,255.0
-1.0,257.0
1.0,415.0
-8.8,250.0
-7.8,235.0
17.0,512.0
4.0,373.0
0.0,299.0
-6.8,230.0
2.0,294.0
-1.0,239.0
-9.8,230.0
-6.8,234.0
-1.0,283.0
4.0,290.0
-2.0,265.0
-8.8,271.0
-7.8,235.0
-7.8,250.0
6.0,383.0
-1.0,340.0
-9.8,245.0
-8.8,245.0
-9.8,235.0
-9.8,250.0
-9.8,261.0
3.0,366.0
4.0,290.0
27.0,512.0
-8.8,235.0
-9.8,250.0
2.1999999999999993,295.0
-3.0,301.0
1.0,275.0
-3.0,314.0
4.0,340.0
-9.8,258.0
1.0,256.0
8.0,426.0
-3.0,346.0
3.0,377.0
-1.0,273.0
2.0,315.0
2.0,321.0
-9.8,250.0
-9.8,250.0
-1.0,253.0
0.0,231.0
4.0,337.0
-9.8,245.0
-9.8,232.0
-2.0,263.0
2.0,336.0
1.0,305.0
-2.0,279.0
5.0,283.0
4.0,345.0
-7.8,255.0
2.0,254.0
3.0,305.0
0.0,312.0
3.0,287.0
6.0,322.0
-8.8,250.0
-8.8,235.0
4.0,330.0
9.0,368.0
-7.8,255.0
-9.8,230.0
-9.8,230.0
-8.8,250.0
-8.8,252.0
-8.8,236.0
-8.8,256.0
-7.8,235.0
-9.8,250.0
-7.8,255.0
4.0,405.0
-8.8,250.0
2.0,331.0
-9.8,259.0
2.0,277.0
-8.8,250.0
0.0,301.0
0.0,255.0
7.0,449.0
6.0,326.0
-7.8,255.0
-9.8,250.0
-2.0,322.0
3.0,330.0
3.0,301.0
-8.8,230.0
-1.0,311.0
-8.8,250.0
-1.0,246.0
-9.8,245.0
3.0,377.0
5.0,315.0
6.0,422.0
9.0,426.0
-2.0,257.0
5.0,480.0
0.0,291.0
-8.8,235.0
6.0,346.0
-8.8,245.0
-8.8,250.0
13.0,444.0
-9.8,250.0
2.0,335.0
-8.8,235.0
7.0,348.0
-8.8,230.0
2.0,386.0
-8.8,235.0
0.0,259.0
7.199999999999999,325.0
-2.0,365.0
3.0,376.0
-8.8,250.0
3.0,351.0
-8.8,235.0
1.0,266.0
-2.0,327.0
-9.8,230.0
-2.0,301.0
2.0,287.0
1.0,312.0
0.0,311.0
7.0,338.0
-9.8,230.0
-2.0,330.0
2.0,303.0
-1.0,235.0
3.0,324.0
-9.8,245.0
5.0,340.0
-1.0,258.0
1.0,305.0
-9.8,256.0
-9.8,230.0
1.0,325.0
-1.0,305.0
-8.8,245.0
11.0,369.0
3.0,295.0
2.0,404.0
-8.8,250.0
5.0,345.0
0.0,336.0
0.0,337.0
-2.0,236.0
7.0,375.0
3.0,364.0
1.0,302.0
3.0,342.0
-1.0,284.0
4.0,305.0
-7.8,250.0
2.0,375.0
-8.8,250.0
2.0,332.0
4.0,389.0
0.0,280.0
5.0,399.0
1.0,343.0
6.0,316.0
-8.8,235.0
-9.8,245.0
5.0,447.0
-3.0,289.0
11.0,415.0
5.0,432.0
-8.8,250.0
-2.0,319.0
-8.8,250.0
0.0,289.0
-7.8,255.0
9.0,507.0
5.0,365.0
-2.0,416.0
-8.8,235.0
11.0,455.0
-9.8,250.0
-7.8,255.0
-9.8,250.0
-7.8,250.0
-9.8,250.0
6.0,388.0
-3.0,335.0
-9.8,250.0
-2.0,235.0
-8.8,230.0
1.0,362.0
2.0,307.0
0.0,352.0
4.0,308.0
-1.0,308.0
3.0,304.0
-1.0,268.0
0.0,275.0
-7.8,250.0
-9.8,250.0
3.0,320.0
6.0,344.0
9.0,486.0
-3.0,305.0
1.0,357.0
-9.8,245.0
-2.0,259.0
-8.8,250.0
8.0,363.0
-7.8,235.0
-8.8,245.0
-1.0,302.0
-2.0,360.0
-9.8,230.0
-8.8,245.0
-5.8,230.0
-1.0,288.0
2.0,343.0
-8.8,238.0
-8.8,250.0
-1.0,270.0
-9.8,250.0
5.0,434.0
7.0,331.0
2.0,329.0
24.0,512.0
-8.8,257.0
-9.8,230.0
-9.8,250.0
-8.8,245.0
-9.8,245.0
-9.8,250.0
0.0,253.0
5.0,365.0
4.0,335.0
-8.8,255.0
0.0,383.0
0.0,230.0
-8.8,245.0
18.0,512.0
14.0,465.0
17.0,445.0
-1.0,310.0
8.0,311.0
-2.0,339.0
2.0,314.0
-7.8,250.0
5.0,315.0
1.0,320.0
-2.0,268.0
-7.8,270.0
5.0,359.0
-7.8,235.0
4.0,275.0
8.0,398.0
2.0,317.0
-9.8,250.0
-8.8,272.0
-9.8,250.0
5.0,344.0
6.0,337.0
8.0,355.0
4.0,304.0
-7.8,250.0
2.0,343.0
-7.8,250.0
-7.8,250.0
-4.0,267.0
3.0,339.0
-4.0,269.0
0.0,296.0
-9.8,245.0
-8.8,250.0
0.0,285.0
-8.8,255.0
10.0,512.0
-9.8,230.0
32.0,512.0
-2.0,339.0
-8.8,255.0
1.0,384.0
-8.8,250.0
5.0,305.0
-8.8,230.0
10.0,418.0
2.0,316.0
-9.8,250.0
