Return,steps
160,-2.54,284.5
161,-2.4000000000000004,281.9
162,-0.6200000000000003,318.7
163,-1.3400000000000003,308.5
164,-0.8400000000000002,316.7
165,2.4,325.9
166,0.8599999999999998,331.0
167,-4.279999999999999,269.2
168,-2.22,297.7
169,-1.3200000000000003,321.0
170,1.4599999999999997,344.1
171,-2.3200000000000003,317.6
172,-5.88,276.1
173,0.039999999999999945,300.4
174,4.62,379.2
175,-3.5799999999999996,284.2
176,-2.9200000000000004,297.5
177,-1.3400000000000003,322.9
178,-3.4,292.3
179,-0.7400000000000002,310.5
180,-4.3,277.1
181,-0.020000000000000285,315.2
182,0.13999999999999985,319.9
183,1.2599999999999998,323.3
184,-1.8400000000000003,286.7
185,2.44,334.9
186,-2.72,294.1
187,-3.2800000000000002,288.0
188,2.7199999999999998,319.8
189,-0.5200000000000002,309.4
190,-1.86,278.0
191,-4.8,281.0
192,-3.28,305.1
193,-6.9399999999999995,256.0
194,-2.2,294.1
195,-2.54,298.5
196,-1.6400000000000001,316.7
197,1.7399999999999998,312.9
198,0.9599999999999997,328.4
199,-1.2200000000000002,303.1
200,-3.6,289.2
201,-1.2200000000000002,303.0
202,-0.5600000000000002,304.1
203,0.31999999999999995,330.6
204,-3.0000000000000004,288.2
205,-5.359999999999999,277.5
206,-0.46000000000000013,286.8
207,0.9399999999999998,327.2
208,0.9799999999999998,327.6
209,-1.9200000000000004,339.6
210,-0.1400000000000002,305.3
211,-5.959999999999999,281.0
212,-3.3,288.7
213,-0.15999999999999998,324.9
214,-3.9799999999999995,287.2
215,0.2799999999999997,320.7
216,-0.2600000000000001,305.9
217,-3.88,286.1
218,-3.4,278.9
219,-1.0200000000000002,321.1
220,-4.2,284.3
221,-4.8,292.1
222,-2.22,299.4
223,-1.2200000000000002,313.7
224,-2.56,296.5
225,-1.9600000000000002,305.5
226,-4.9799999999999995,274.5
227,-4.6,275.2
228,-4.38,283.2
229,-3.4,304.1
230,0.2799999999999999,318.2
231,0.8399999999999999,360.7
232,-2.24,303.4
233,-2.72,294.0
234,-3.6400000000000006,296.1
235,1.7,305.9
236,-0.7400000000000002,325.5
237,0.2599999999999999,304.6
238,-4.58,276.3
239,-4.88,284.1
240,-2.72,292.8
241,0.2599999999999998,337.5
242,-3.9799999999999995,297.0
243,0.5399999999999999,326.8
244,-3.7,281.5
245,-4.760000000000001,262.2
246,1.94,347.9
247,-2.62,316.7
248,-3.8,288.8
249,-0.5600000000000002,309.0
250,-1.6400000000000001,331.9
251,0.09999999999999983,319.9
252,1.94,333.8
253,1.3199999999999998,341.0
254,-1.9200000000000004,298.2
255,-3.2,269.9
256,-0.2400000000000002,319.2
257,-0.66,284.9
258,-1.4200000000000004,318.4
259,-6.459999999999999,261.4
260,-3.22,304.7
261,1.8199999999999998,331.3
262,-0.66,323.2
263,-0.2200000000000001,318.7
264,-6.159999999999999,268.4
265,-1.2000000000000004,296.2
266,-1.5400000000000003,296.9
267,-3.88,275.7
268,-3.2,279.1
269,-3.5800000000000005,298.2
270,-1.2200000000000002,301.4
271,-6.359999999999999,277.1
272,-1.6200000000000003,303.1
273,-4.0,301.9
274,-3.2,289.5
275,-2.3200000000000003,297.7
276,-5.4799999999999995,281.3
277,-0.25999999999999995,299.7
278,-1.6400000000000001,296.4
279,-3.12,285.7
280,-3.9799999999999995,276.3
281,0.5599999999999998,309.1
