update,pg_loss,value_loss,entropy_loss,total_loss,update time
0,0.050144631415605545,0.4217686653137207,1.288588523864746,0.45902740955352783,141.40359262899983
1,0.011359723284840584,0.3981253206729889,1.2034231424331665,0.3974508047103882,11.006850741000562
2,0.022965677082538605,0.7416495084762573,1.3659741878509521,0.7509554624557495,13.249508079000407
3,-0.05644627660512924,0.20961254835128784,1.3931255340576172,0.1392350047826767,17.63107906499954
4,-0.04823434352874756,0.7031456828117371,1.2073695659637451,0.642837643623352,5.971315976000369
5,0.01847459003329277,1.116639494895935,1.0150368213653564,1.1249637603759766,74.94849792700006
6,0.01721261255443096,0.6347000002861023,1.356126070022583,0.6383513808250427,5.254301779000343
7,-0.03754669800400734,0.7717576026916504,1.1937053203582764,0.7222738265991211,7.708373909000329
8,0.0303256344050169,1.9851380586624146,1.2916016578674316,2.0025475025177,7.9134921249997205
9,-0.023184943944215775,0.590329110622406,1.0117409229278564,0.557026743888855,8.886726574999557
10,-0.02559015341103077,0.6774147748947144,0.9931326508522034,0.6418932676315308,77.00628785200024
11,-0.02936978079378605,0.3948819041252136,0.8713768720626831,0.35679835081100464,9.02468533999945
12,-0.043286532163619995,1.0883935689926147,1.1423227787017822,1.0336837768554688,8.869299824999871
13,-0.029459845274686813,0.21248511970043182,1.1999367475509644,0.17102590203285217,5.609326110000438
14,-0.02355949394404888,0.016171766445040703,1.289393663406372,-0.02028166502714157,6.447832759999983
15,0.0333796888589859,1.355798602104187,1.208979845046997,1.3770884275436401,87.69210203800048
16,-0.02256481535732746,0.12091238051652908,0.9468692541122437,0.08887887746095657,7.0484033259999705
17,0.03505312651395798,1.612112283706665,1.126358151435852,1.6359018087387085,6.081590896000307
18,-0.01974583975970745,0.6246991753578186,1.0217416286468506,0.5947359204292297,12.187408565000624
19,-0.04779279604554176,0.8355267643928528,1.1467781066894531,0.7762662172317505,9.17776081700049
20,-0.012310411781072617,0.7830763459205627,0.9351582527160645,0.7614143490791321,104.76591947199995
21,-0.03387140855193138,0.11875520646572113,0.9055008292198181,0.07582878321409225,8.465202624000085
